,event_time,event_type,product_id,category_id,category_code,brand,price,user_id,user_session
16834,2020-01-01 10:43:18 UTC,view,5693593,1487580013841613016,,estel,2.62,481772347,4f5b0380-8da9-4cbd-a6ad-e8ef4f651966
16957,2020-01-01 10:45:18 UTC,view,5596128,1487580005595612013,,,1.25,595530157,7993c1fe-f87f-42bf-8a36-97870f7d71e5
18079,2020-01-01 10:59:37 UTC,remove_from_cart,5739057,1487580008263189483,,kapous,4.75,413759078,5e861d41-dd16-436f-8e4d-0e940835e2da
18658,2020-01-01 11:06:30 UTC,view,5864807,1638456119066100510,,pole,4.11,565459061,a8204735-34c8-4985-bfdd-f25a6773415f
19040,2020-01-01 11:11:26 UTC,cart,5739125,1487580008246412266,,kapous,4.4,536632561,fa3fd6f6-ad47-44c8-800b-5ce2e69686a1
19555,2020-01-01 11:18:37 UTC,remove_from_cart,5683751,1487580005595612013,,,3.0,340189216,acac13e9-5049-49c3-9c5b-d5c38df76bfb
19927,2020-01-01 11:24:36 UTC,view,5883797,1487580008347075566,,,3.81,347850889,99c95a51-4e57-40ca-96f1-f146aa18df70
20336,2020-01-01 11:29:10 UTC,cart,5752748,1487580010100293687,,milv,3.17,324704403,2049d402-13ee-42a9-89d6-cbf2c9cd68bf
20532,2020-01-01 11:32:00 UTC,view,5649464,1487580005511725929,,,5.56,567569908,e4faf5f0-85a6-4983-9984-ba3343dcc8d2
21036,2020-01-01 11:37:54 UTC,remove_from_cart,5698323,1487580011702517887,,estelare,2.22,410927059,a3c27327-7343-4d02-a046-a5fc3e4e9592
21591,2020-01-01 11:42:45 UTC,cart,5848386,1516331853567492962,,severina,2.94,590552253,2bbba1a6-3e67-4ada-b558-0dd0f0981f7b
22447,2020-01-01 11:56:01 UTC,purchase,5769879,1487580013841613016,,kapous,3.65,436468829,57b9d415-7e3f-4bce-b5f0-d53f85ab2a1e
24609,2020-01-01 12:24:09 UTC,remove_from_cart,5812746,1487580008800059394,,masura,3.16,566545687,c508bbbc-ffe1-4124-b96c-206c6ffd632c
24817,2020-01-01 12:26:55 UTC,cart,5561082,1487580005595612013,,,3.0,584987432,baada7d6-8b42-415f-b8a7-ab4921d67b6d
26311,2020-01-01 12:45:52 UTC,view,37987,1487580009177546772,,runail,42.86,595571323,e7de7441-910a-4ee1-aa4e-ade2d9eeeb47
26407,2020-01-01 12:47:09 UTC,purchase,5831649,1783999068867920626,,,1.43,561237442,d4579b5f-e392-4488-ace8-b29c6d91075c
26758,2020-01-01 12:52:08 UTC,view,5649235,1487580008246412266,,concept,5.24,595570323,8a3999ba-e629-44cb-b475-801529985615
26794,2020-01-01 12:52:43 UTC,remove_from_cart,5866135,1487580008263189483,,s.care,103.17,567955469,4f715e72-1e27-4c01-b279-4116d64ec758
26991,2020-01-01 12:54:59 UTC,cart,5844301,1487580006317032337,,,1.57,595566214,e76137dd-d4aa-4144-847d-f614748669d0
27377,2020-01-01 13:00:31 UTC,view,5825207,2089259162625114209,,kiss,8.73,595575540,74f819c8-dfdd-44a8-b585-e18f20531866
27542,2020-01-01 13:02:52 UTC,view,5765359,1487580013950664926,,ingarden,56.02,595576178,ca201677-04b0-49c8-891f-23508a7e8059
27565,2020-01-01 13:03:12 UTC,view,5848907,1487580007675986893,,bpw.style,1.9,548896284,007c1dd7-39ba-4a02-8e2a-02fd3d2ca607
28617,2020-01-01 13:16:35 UTC,cart,5792800,1487580005268456287,,,10.32,595580345,0de45565-737b-4995-a973-4161d819cb9b
28935,2020-01-01 13:20:58 UTC,view,5914506,1487580013296353468,,dermacol,9.52,546188353,4e4cdfb4-fc0b-4359-9fe3-bc9982ac3d7b
29228,2020-01-01 13:25:38 UTC,cart,5886475,1487580007936033754,,runail,3.25,588245795,9f2fc3db-6c5c-44c2-9b36-aadb78a640fe
29521,2020-01-01 13:30:09 UTC,view,5809911,1602943681873052386,,grattol,5.24,595508345,5574a0f2-d3f8-46ca-8b15-54fd677bcb44
